Data;Taxa de juros prefixada - estrutura a termo - LTN - 12 meses - (% a.a.) - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais (Anbima) - ANBIMA366_TJTLN12366
01/01/2017;11,5018
02/01/2017;11,5016
03/01/2017;11,3985
04/01/2017;11,424
05/01/2017;11,4087
06/01/2017;11,3985
07/01/2017;11,424
08/01/2017;11,2949
09/01/2017;11,3018
10/01/2017;11,2415
11/01/2017;11,2432
12/01/2017;11,2825
13/01/2017;11,2415
14/01/2017;11,2432
15/01/2017;10,9067
16/01/2017;10,9661
17/01/2017;10,9389
18/01/2017;10,9367
19/01/2017;10,9273
20/01/2017;10,9389
21/01/2017;10,9367
22/01/2017;10,8689
23/01/2017;10,8151
24/01/2017;10,8225
25/01/2017;10,8178
26/01/2017;10,8314
27/01/2017;10,8225
28/01/2017;10,8178
29/01/2017;10,8332
30/01/2017;10,7962
31/01/2017;10,7595
01/02/2017;10,7397
02/02/2017;10,7976
03/02/2017;10,7595
04/02/2017;10,7397
05/02/2017;10,7016
06/02/2017;10,6498
07/02/2017;10,6043
08/02/2017;10,5481
09/02/2017;10,6438
10/02/2017;10,6043
11/02/2017;10,5481
12/02/2017;10,5312
13/02/2017;10,473
14/02/2017;10,4619
15/02/2017;10,417
16/02/2017;10,4672
17/02/2017;10,4619
18/02/2017;10,417
19/02/2017;10,4489
20/02/2017;10,3664
21/02/2017;10,2753
22/02/2017;10,3341
23/02/2017;10,2753
24/02/2017;10,2538
25/02/2017;10,1104
26/02/2017;10,1179
27/02/2017;
28/02/2017;
01/03/2017;10,063
02/03/2017;10,0806
03/03/2017;10,063
04/03/2017;10,0806
05/03/2017;9,9935
06/03/2017;9,9443
07/03/2017;9,9555
08/03/2017;9,9443
09/03/2017;9,9555
10/03/2017;9,9686
11/03/2017;9,9885
12/03/2017;9,7887
13/03/2017;9,7365
14/03/2017;9,7863
15/03/2017;9,7365
16/03/2017;9,7863
17/03/2017;9,6935
18/03/2017;9,7359
19/03/2017;9,7359
20/03/2017;9,7288
21/03/2017;9,6745
22/03/2017;9,7288
23/03/2017;9,6745
24/03/2017;9,6861
25/03/2017;9,7037
26/03/2017;9,6064
27/03/2017;9,567
28/03/2017;9,5882
29/03/2017;9,567
30/03/2017;9,5882
31/03/2017;9,559
01/04/2017;9,6319
02/04/2017;9,6217
03/04/2017;9,5813
04/04/2017;9,5442
05/04/2017;9,5813
06/04/2017;9,5442
07/04/2017;9,5078
08/04/2017;9,5679
09/04/2017;9,5327
10/04/2017;9,417
11/04/2017;9,3737
12/04/2017;9,417
13/04/2017;9,3737
14/04/2017;9,4011
15/04/2017;9,4209
16/04/2017;
17/04/2017;9,4019
18/04/2017;9,2993
19/04/2017;9,4019
20/04/2017;9,2993
21/04/2017;9,3126
22/04/2017;9,3178
23/04/2017;
24/04/2017;9,2697
25/04/2017;9,3214
26/04/2017;9,2697
27/04/2017;9,3214
28/04/2017;9,3072
29/04/2017;9,3064
